ID,Label,Industry
AAP,AAP,Rtail
ABG,ABG,Rtail
ACI,ACI,Rtail
AEO,AEO,Rtail
AN,AN,Rtail
ANF,ANF,Rtail
APRN,APRN,Rtail
AZO,AZO,Rtail
BBBY,BBBY,Rtail
BBW,BBW,Rtail
BBWI,BBWI,Rtail
BGFV,BGFV,Rtail
BIG,BIG,Rtail
BJ,BJ,Rtail
BKE,BKE,Rtail
BNED,BNED,Rtail
BOOT,BOOT,Rtail
BOX,BOX,Rtail
BPTH,BPTH,Rtail
BROS,BROS,Rtail
BTTR,BTTR,Rtail
BURL,BURL,Rtail
BYON,BYON,Rtail
CAL,CAL,Rtail
CASY,CASY,Rtail
CATO,CATO,Rtail
CHS,CHS,Rtail
CHWY,CHWY,Rtail
CLMB,CLMB,Rtail
CNXN,CNXN,Rtail
CONN,CONN,Rtail
COST,COST,Rtail
CPNG,CPNG,Rtail
CRI,CRI,Rtail
CTRN,CTRN,Rtail
CVNA,CVNA,Rtail
CVS,CVS,Rtail
CWH,CWH,Rtail
DASH,DASH,Rtail
DBI,DBI,Rtail
DDS,DDS,Rtail
DG,DG,Rtail
DKS,DKS,Rtail
DLTR,DLTR,Rtail
DXLG,DXLG,Rtail
EFSH,EFSH,Rtail
ETD,ETD,Rtail
EXPR,EXPR,Rtail
FAST,FAST,Rtail
FIGS,FIGS,Rtail
FL,FL,Rtail
FLWS,FLWS,Rtail
FND,FND,Rtail
GCO,GCO,Rtail
GES,GES,Rtail
GME,GME,Rtail
GPI,GPI,Rtail
GPS,GPS,Rtail
GROV,GROV,Rtail
HD,HD,Rtail
HIBB,HIBB,Rtail
HVT,HVT,Rtail
HZO,HZO,Rtail
IDEX,IDEX,Rtail
IDT,IDT,Rtail
IMBI,IMBI,Rtail
IMKTA,IMKTA,Rtail
JAN,JAN,Rtail
JILL,JILL,Rtail
JWN,JWN,Rtail
KIRK,KIRK,Rtail
KKR,KKR,Rtail
KMX,KMX,Rtail
KR,KR,Rtail
KSPN,KSPN,Rtail
KSS,KSS,Rtail
LAD,LAD,Rtail
LOW,LOW,Rtail
LULU,LULU,Rtail
M,M,Rtail
MBC,MBC,Rtail
MDVL,MDVL,Rtail
MGRC,MGRC,Rtail
MGY,MGY,Rtail
MUSA,MUSA,Rtail
NAPA,NAPA,Rtail
NGVC,NGVC,Rtail
ODP,ODP,Rtail
ORLY,ORLY,Rtail
OSTK,OSTK,Rtail
PAG,PAG,Rtail
PATH,PATH,Rtail
PDCO,PDCO,Rtail
PETS,PETS,Rtail
PFIE,PFIE,Rtail
PLCE,PLCE,Rtail
PRTS,PRTS,Rtail
PRTY,PRTY,Rtail
PSMT,PSMT,Rtail
RAD,RAD,Rtail
RH,RH,Rtail
ROST,ROST,Rtail
RUSHA,RUSHA,Rtail
RUSHB,RUSHB,Rtail
SAH,SAH,Rtail
SBH,SBH,Rtail
SCVL,SCVL,Rtail
SFM,SFM,Rtail
SMAR,SMAR,Rtail
SNA,SNA,Rtail
SVV,SVV,Rtail
TA,TA,Rtail
TCS,TCS,Rtail
TGT,TGT,Rtail
TJX,TJX,Rtail
TLYS,TLYS,Rtail
TSCO,TSCO,Rtail
ULTA,ULTA,Rtail
URBN,URBN,Rtail
VLGEA,VLGEA,Rtail
VLTA,VLTA,Rtail
VSCO,VSCO,Rtail
W,W,Rtail
WBA,WBA,Rtail
WINA,WINA,Rtail
WMK,WMK,Rtail
WMT,WMT,Rtail
WRBY,WRBY,Rtail
WSM,WSM,Rtail
ZUMZ,ZUMZ,Rtail
