ID,Label,Industry
AAON,AAON,Mach
ACA,ACA,Mach
ACLS,ACLS,Mach
AGCO,AGCO,Mach
AIMC,AIMC,Mach
ALG,ALG,Mach
AMAT,AMAT,Mach
AP,AP,Mach
AQUA,AQUA,Mach
ARTW,ARTW,Mach
ASTE,ASTE,Mach
AZTA,AZTA,Mach
BC,BC,Mach
BKR,BKR,Mach
CARR,CARR,Mach
CAT,CAT,Mach
CECO,CECO,Mach
CMCO,CMCO,Mach
CMI,CMI,Mach
CVV,CVV,Mach
DCI,DCI,Mach
DE,DE,Mach
DNOW,DNOW,Mach
DOV,DOV,Mach
DRQ,DRQ,Mach
EPAC,EPAC,Mach
ESAB,ESAB,Mach
FET,FET,Mach
FLS,FLS,Mach
GE,GE,Mach
GENC,GENC,Mach
GGG,GGG,Mach
GHM,GHM,Mach
GRC,GRC,Mach
HAYW,HAYW,Mach
HURC,HURC,Mach
IEX,IEX,Mach
IR,IR,Mach
ITT,ITT,Mach
ITW,ITW,Mach
IVAC,IVAC,Mach
JBT,JBT,Mach
KAI,KAI,Mach
KLIC,KLIC,Mach
KMT,KMT,Mach
LECO,LECO,Mach
LNN,LNN,Mach
LRCX,LRCX,Mach
MEC,MEC,Mach
MIDD,MIDD,Mach
MTW,MTW,Mach
NDSN,NDSN,Mach
NNBR,NNBR,Mach
NOV,NOV,Mach
NR,NR,Mach
OIS,OIS,Mach
PCYO,PCYO,Mach
PFIN,PFIN,Mach
PH,PH,Mach
PHIN,PHIN,Mach
PLOW,PLOW,Mach
RBC,RBC,Mach
SCX,SCX,Mach
SMIT,SMIT,Mach
SOI,SOI,Mach
SXI,SXI,Mach
TAYD,TAYD,Mach
THMO,THMO,Mach
TKR,TKR,Mach
TNC,TNC,Mach
TRT,TRT,Mach
TTC,TTC,Mach
TWIN,TWIN,Mach
VECO,VECO,Mach
VLD,VLD,Mach
WHD,WHD,Mach
WLMS,WLMS,Mach
XYL,XYL,Mach
